StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"PA",42,2,726135,71830,43326,81581,49007,141695,74830,154754,109112
"PA",42,3,691184,161132,149738,156021,164432,23804,7653,19963,8441
"PA",42,4,729945,164314,141360,161122,157138,39959,13801,37724,14527
"PA",42,5,696063,176512,150141,161980,161120,23384,6606,13204,3116
"PA",42,6,728576,160618,142318,156633,159213,43604,12539,38892,14759
"PA",42,7,725762,161076,144905,153680,162387,36313,14929,35891,16581
"PA",42,8,713998,158418,148819,151193,165852,30424,14072,29990,15230
"PA",42,9,687620,166334,151823,160162,169747,13741,6531,14066,5216
"PA",42,10,694398,161549,158558,154524,168919,20441,7180,16348,6879
"PA",42,11,701056,155857,144486,150615,166341,31375,11077,30133,11172
"PA",42,12,689237,153797,158891,145639,175909,19944,7367,19987,7703
"PA",42,13,728475,122569,100134,126365,120497,88784,36884,85604,47638
"PA",42,14,687028,130430,107185,125788,125629,64368,27062,68762,37804
"PA",42,15,734824,161698,137497,163228,154405,45729,14646,43522,14099
"PA",42,16,731802,167229,127000,166331,144137,48163,14631,47191,17120
"PA",42,17,697535,156049,144058,147323,161041,36396,12595,27450,12623
"PA",42,18,713533,163721,154157,159147,182660,20921,8362,18781,5784
"RI",44,1,539250,106652,92689,108071,108563,45386,14838,47318,15733
"RI",44,2,520389,119277,100404,114034,116568,25727,8225,25148,11006
"SC",45,1,782340,154526,126636,156291,143884,64966,30324,67421,38292
"SC",45,2,713488,137353,108902,131788,122511,69884,30649,71945,40456
"SC",45,3,687378,137654,121316,134339,132516,54967,25105,51199,30282
"SC",45,4,731886,149667,112337,148133,127085,63862,28055,66381,36366
"SC",45,5,718465,132939,109852,129512,121469,69371,35964,74026,45332
"SC",45,6,670725,80479,54489,68985,57780,125144,65417,130538,87893
"SC",45,7,720087,112154,120367,111286,135969,76833,37690,77117,48671
"SD",46,0,869666,210673,159919,197371,168618,53117,14720,49988,15260
"TN",47,1,714912,170391,157002,167855,175633,16308,6738,14739,6246
"TN",47,2,747673,182095,141237,181327,161070,28632,11577,28064,13671
"TN",47,3,733082,162268,140900,158697,158486,35939,17064,38609,21119
"TN",47,4,782024,192628,132692,189218,147831,45219,14442,43298,16696
"TN",47,5,774096,164023,95135,160391,107491,81194,34669,87681,43512
"TN",47,6,772984,190153,154178,187663,171875,24325,11169,22518,11103
"TN",47,7,778057,190416,133620,185132,146240,43628,17732,41892,19397
"TN",47,8,716130,139176,120516,136027,136273,56412,30539,61646,35541
"TN",47,9,697026,53458,36798,51360,42336,168168,71694,174187,99025
"TX",48,1,717376,159196,113442,156389,123597,52666,25467,55233,31386
"TX",48,2,772262,159729,105281,145610,112075,86793,35077,87893,39804
"TX",48,3,870763,177222,118992,171161,129225,94652,36639,102094,40778
"TX",48,4,747188,170176,128895,163681,144432,46058,21800,47432,24714
"TX",48,5,769579,181568,117231,169940,126408,64382,23475,61887,24688
"TX",48,6,792043,154083,100292,148725,111952,95817,35535,102108,43531
"TX",48,7,800081,164554,98214,155307,100014,106199,31660,106795,37338
"TX",48,8,863498,217701,143509,205984,146652,54833,22799,49371,22649
"TX",48,9,789535,109062,45256,107010,45804,152756,74398,161180,94069
"TX",48,10,846261,183057,112946,175649,125303,95499,28760,91279,33768
"TX",48,11,759467,191254,124830,186827,137169,46420,16107,40519,16341
"TX",48,12,806551,188790,117807,189833,134523,67660,22003,62985,22950
"TX",48,13,713480,184670,120944,165642,130318,44598,15040,36460,15808
"TX",48,14,765031,162742,110076,151532,116211,77339,38168,71150,37813
"TX",48,15,790730,227931,97354,221642,112130,49117,20649,42129,19778
"TX",48,16,742384,183700,91003,183895,112772,64632,25204,54965,26213
"TX",48,17,771567,189699,99404,180529,110800,66913,26931,65081,32210
