StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"NY",36,14,691813,58331.0,38.8,0.1681427478244363,2.91,0.13167029388627075
"NY",36,15,781143,28042.0,31.4,0.10199158250916421,2.95,0.3618823902369943
"NY",36,16,742552,69463.0,40.5,0.20071567800308382,2.67,0.10782447876543652
"NY",36,17,746412,96125.0,38.8,0.23749272655509304,2.95,9.956121563588037e-2
"NY",36,18,730114,86211.0,39.5,0.20074024980881977,2.82,8.882083780302376e-2
"NY",36,19,700975,61662.0,44.9,0.16189202030061287,2.49,0.1236426923495646
"NY",36,20,732130,66532.0,39.3,0.20459023622678574,2.45,0.11299389233733638
"NY",36,21,705669,54311.0,40.6,0.1312364491653401,2.44,0.1331716535528076
"NY",36,22,696819,52212.0,41.1,0.14062644136022476,2.42,0.14777990983074046
"NY",36,23,702026,50747.0,40.5,0.13628620459609034,2.38,0.15273007968881253
"NY",36,24,707889,55721.0,40.0,0.1763445609704245,2.4,0.1427338656768466
"NY",36,25,719033,57149.0,38.9,0.20010418531308893,2.37,0.14823355446630473
"NY",36,26,714521,49148.0,38.2,0.1835449916477147,2.27,0.1874965804212921
"NY",36,27,718515,64032.0,44.2,0.17984736763912457,2.42,8.260647962841915e-2
"NC",37,1,759049,43853.0,38.0,0.1737057273652876,2.43,0.21087543545029167
"NC",37,2,835806,69552.0,38.7,0.23708514792010812,2.77,0.10475977247972891
"NC",37,3,755647,50479.0,37.0,0.1596777708718429,2.5,0.1673568323620921
"NC",37,4,856104,70293.0,34.9,0.31099432496593576,2.5,0.11274331426029201
"NC",37,5,758376,46513.0,40.8,0.17673906200818382,2.46,0.1689214949402525
"NC",37,6,768546,49867.0,41.1,0.16054795863908014,2.51,0.14701358965860126
"NC",37,7,800096,48345.0,41.7,0.17781937966564276,2.46,0.17240556345416072
"NC",37,8,789484,51621.0,36.2,0.18276562512022282,2.59,0.13684209153327628
"NC",37,9,788020,61369.0,39.1,0.21825359169497638,2.74,0.1486265391117358
"NC",37,10,760410,47064.0,41.9,0.15805326896494812,2.45,0.13809234035594706
"NC",37,11,759358,46337.0,45.5,0.1667901334703184,2.44,0.14081110862648213
